Date,ratio,ma,diff,z,p1_change,position,strategy_return
2020-03-20,0.7444048606761361,0.6901886650995654,0.05421619557657065,2.3366387691160857,-0.5273708841839864,0,-0.0
2020-03-23,0.7622812383094145,0.6942922118560262,0.06798902645338833,2.345843029566505,5.124965281536409,-1,0.0
2020-03-24,0.8082520815017858,0.7004947019843666,0.10775737951741926,2.763313197158046,10.999043943774067,-1,-10.999043943774067
2020-03-25,0.8098938618706295,0.7065967183431496,0.10329714352747987,2.1589480078703307,-3.4400694733770165,-1,3.4400694733770165
2020-03-26,0.7882489885949313,0.7125754420856839,0.0756735465092474,1.32807233032906,6.430649480613981,-1,-6.430649480613981
2020-03-27,0.800724954155922,0.7191025886067118,0.08162236554921021,1.3100408464374091,-1.936838250411188,-1,1.936838250411188
2020-03-30,0.7936476367779184,0.7247980167373571,0.06884962004056128,0.9283151849601062,2.7479577693865664,-1,-2.7479577693865664
2020-03-31,0.7695654127202342,0.7289454676826479,0.04061994503758626,0.2607957667241305,-4.972839610872192,0,4.972839610872192
2020-04-01,0.7583876354239141,0.7318030585550013,0.0265845768689128,-0.06849878533134111,-4.001758384219034,0,-0.0
2020-04-02,0.7487189597424766,0.7344583590002328,0.014260600742243779,-0.35854245489240205,1.9010577965081765,0,0.0
2020-04-03,0.7474001654564921,0.7359298688710416,0.011470296585450512,-0.40862146013088746,-4.270625880417778,0,-0.0
2020-04-06,0.7666851222964481,0.7401704339729396,0.026514688323508562,-0.12193251943485396,11.57548787864049,0,0.0
2020-04-07,0.7485504588962666,0.7446744983659417,0.0038759605303249067,-0.7390195679527942,0.0841770099789807,0,0.0
2020-04-08,0.7616264092612776,0.7477029134359524,0.01392349582532515,-0.5081257211227651,2.5862058593780324,0,0.0
2020-04-09,0.7736900081922815,0.7530728288980152,0.02061717929426632,-0.435355781384883,-0.8403358059409838,0,-0.0
2020-04-13,0.7955139559117433,0.7597048277600762,0.03580912815166715,-0.13354225745712872,5.291437581800529,0,0.0
2020-04-14,0.8108130783550364,0.7658848573052698,0.04492822104976657,0.06374097609257867,7.832747911333393,0,0.0
2020-04-15,0.8283620573339926,0.772493078857826,0.055868978476166564,0.3387203308287728,0.10923242846834214,0,0.0
2020-04-16,0.8482870785427039,0.7783158389506882,0.06997123959201568,0.7391397153925846,3.5642826416573126,0,0.0
2020-04-17,0.8506000438446834,0.7857827003932144,0.06481734345146895,0.5047785077953371,-0.6145781986470755,0,-0.0
2020-04-20,0.8775903126227417,0.7924419729905446,0.08514833963219703,1.0847140467970748,0.6537151175917577,0,0.0
2020-04-21,0.8432309892582516,0.7964894605379865,0.046741528720265046,-0.10162257559297046,-7.1090099437913,0,-0.0
2020-04-22,0.8571477687985435,0.7989342449028245,0.05821352389571899,0.38139807808723886,5.6689344365103755,0,0.0
2020-04-23,0.8669410016175886,0.8017866018901725,0.0651543997274161,0.7717816850081128,-0.03575937718379718,0,-0.0
2020-04-24,0.845731674401991,0.8046607361805254,0.04107093822146568,-0.1118747615505901,0.5008922569836649,0,0.0
2020-04-27,0.8510699499077005,0.8071779859681143,0.043891963939586165,0.08684301143166054,0.5518002342596251,0,0.0
2020-04-28,0.8439697304224496,0.8096940906503409,0.03427563977210868,-0.2700964805842964,-1.734826213161822,0,-0.0
2020-04-29,0.7778241831037551,0.8101070291695169,-0.03228284606576182,-2.5273952393417427,-3.332730192865907,1,-0.0
2020-04-30,0.7623110378129193,0.8103031992889672,-0.0479921614760479,-2.4388009602561684,-2.36675449380368,1,-2.36675449380368
2020-05-01,0.754862568552925,0.8106103797294896,-0.05574781117656458,-2.2113513490500263,-4.790987499093468,1,-4.790987499093468
2020-05-04,0.7949998684452256,0.8129903648789263,-0.017990496433700653,-1.1536069090053391,5.372895444641279,1,5.372895444641279
2020-05-05,0.7695743925184648,0.8131348283900272,-0.04356043587156233,-1.5855980582197797,-0.7039625892590995,1,-0.7039625892590995
2020-05-06,0.7570396712160697,0.8135592890060173,-0.05651961778994752,-1.6801865953489705,-0.057479938850801826,1,-0.057479938850801826
2020-05-07,0.754374284588683,0.8131966827723875,-0.058822398183704494,-1.5401389504922318,-0.4026056079121654,1,-0.4026056079121654
2020-05-08,0.7557939760623088,0.8123018811658888,-0.05650790510357995,-1.3433921164639777,2.3869063437129467,1,2.3869063437129467
2020-05-11,0.7928153392622321,0.8121669503334135,-0.01935161107118133,-0.5784147161161386,4.794140097001898,1,4.794140097001898
2020-05-12,0.7847391809275706,0.81086325546204,-0.02612407453446941,-0.6397417875796765,-3.552212589362913,1,-3.552212589362913
